Organization,Country,Lattitude,Longitude,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date
Labadie-Moore,France,48.864716,2.349014,IT & IT Services,Medium (201-500),Laura Thompson,1/11/2024,SAAS,Opportunity,5,Nurturing,3,728,3/20/1900,11/20/2024,
Kertzmann Inc,Germany,52.520008,13.404954,Banking and Finance,Medium (201-500),Laura Thompson,5/13/2024,SAAS,Opportunity,5,Nurturing,3,2331,2/8/1900,6/29/2024,
"Langosh, Bruen and Koelpin",Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Emily Johnson,3/24/2024,Services,Opportunity,5,Nurturing,3,4073,1/29/1900,10/19/2024,
Olson Inc,Italy,41.902782,12.496366,Professional Services  & Consulting,Medium (201-500),Michael Brown,2/28/2024,Services,Opportunity,5,Nurturing,3,5905,1/9/1900,4/15/2024,
McKenzie-Farrell,Germany,52.520008,13.404954,IT & IT Services,Medium (201-500),John Smith,5/6/2024,SAAS,Opportunity,5,Nurturing,3,2950,4/9/1900,6/20/2024,
"Osinski, Blick and Morar",Portugal,38.736946,-9.142685,Government Administration Healthcare,Medium (201-500),Laura Thompson,2/28/2024,SAAS,Opportunity,5,Nurturing,3,6122,1/9/1900,6/4/2024,
Schultz-Flatley,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Emily Johnson,2/26/2024,Services,Opportunity,5,Nurturing,3,7780,3/20/1900,12/14/2024,
Doyle-Haley,Belgium,51.260197,4.402771,Professional Services  & Consulting,Medium (201-500),Emily Johnson,2/21/2024,SAAS,Opportunity,5,Nurturing,3,3253,2/8/1900,10/25/2024,
Miller Inc,Spain,40.416775,-3.703790,Telecommunications,Medium (201-500),Sarah Davis,4/6/2024,Services,Opportunity,5,Nurturing,3,4301,2/28/1900,2/7/2025,
"Stokes, Harris and Douglas",Belgium,51.260197,4.402771,Construction & Engineering,Medium (201-500),John Smith,5/4/2024,SAAS,Opportunity,5,Nurturing,3,6505,3/20/1900,11/18/2024,
"Schoen, Hermann and Bechtelar",Portugal,38.736946,-9.142685,IT & IT Services,Medium (201-500),John Smith,2/25/2024,Custom solution,Opportunity,5,Nurturing,3,5576,1/9/1900,2/14/2025,
"Deckow, Runolfsdottir and Schuppe",Switzerland,46.204391,6.143158,Manufacturing & Production,Medium (201-500),Laura Thompson,4/4/2024,Services,Opportunity,5,Nurturing,3,1462,2/28/1900,11/2/2024,
"Lehner, Larson and Roberts",Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),Michael Brown,2/18/2024,Services,Opportunity,5,Nurturing,3,2795,3/10/1900,8/1/2024,
Dickinson Inc,France,48.864716,2.349014,Entertainment & Media & Hospitality,Medium (201-500),Michael Brown,3/11/2024,SAAS,Opportunity,5,Nurturing,3,1713,2/8/1900,4/27/2024,
Cormier Group,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Sarah Davis,1/23/2024,Custom solution,Opportunity,5,Nurturing,3,1681,2/18/1900,3/24/2024,
Donnelly Inc,France,48.864716,2.349014,Banking and Finance,Medium (201-500),Emily Johnson,1/30/2024,SAAS,Opportunity,5,Nurturing,3,5011,1/9/1900,9/7/2024,
Mante-Hermann,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),David Wilson,4/16/2024,Custom solution,Opportunity,5,Nurturing,3,5828,1/19/1900,6/28/2024,
"Pollich, Simonis and Kerluke",Germany,52.520008,13.404954,Government Administration Healthcare,Medium (201-500),Jessica Martinez,1/29/2024,SAAS,Opportunity,5,Nurturing,3,5159,2/8/1900,1/1/2025,
"Leannon, Breitenberg and Crist",Portugal,38.736946,-9.142685,Transportation & Logistics,Medium (201-500),Sarah Davis,5/29/2024,Services,Opportunity,5,Nurturing,3,3808,2/8/1900,7/14/2024,
Mueller-Glover,Italy,41.902782,12.496366,Retail & Distribution,Medium (201-500),Jessica Martinez,5/3/2024,Custom solution,Opportunity,5,Nurturing,3,4480,2/18/1900,6/18/2024,
"Towne, Mills and Kuhlman",Belgium,51.260197,4.402771,Government Administration Healthcare,Medium (201-500),Sarah Davis,1/26/2024,SAAS,Opportunity,5,Nurturing,3,710,2/8/1900,5/16/2024,
Durgan Group,France,48.864716,2.349014,Transportation & Logistics,Medium (201-500),John Smith,3/8/2024,Services,Opportunity,5,Nurturing,3,7963,1/19/1900,5/10/2024,
Wehner LLC,Italy,41.902782,12.496366,Agriculture & Mining,Medium (201-500),Michael Brown,4/12/2024,SAAS,Opportunity,5,Nurturing,3,5180,3/10/1900,11/23/2024,
"Crooks, Corwin and Stoltenberg",Switzerland,46.204391,6.143158,Retail & Distribution,Medium (201-500),Kevin Anderson,3/26/2024,SAAS,Opportunity,5,Nurturing,3,1016,1/19/1900,4/26/2024,
Flatley-Hansen,Portugal,38.736946,-9.142685,Telecommunications,Medium (201-500),Michael Brown,2/4/2024,SAAS,Opportunity,5,Nurturing,3,3851,1/29/1900,10/10/2024,
"Herman, Hansen and Kerluke",France,48.864716,2.349014,Retail & Distribution,Medium (201-500),Kevin Anderson,5/13/2024,SAAS,Opportunity,5,Nurturing,3,1140,3/30/1900,12/25/2024,
"Mraz, Murazik and Kling",Switzerland,46.204391,6.143158,Construction & Engineering,Large (501-1000),John Smith,3/23/2024,Custom solution,Opportunity,5,Nurturing,3,14552,2/28/1900,8/22/2024,
"Balistreri, Roberts and Gottlieb",Portugal,38.736946,-9.142685,IT & IT Services,Large (501-1000),Jessica Martinez,2/12/2024,SAAS,Opportunity,5,Nurturing,3,5806,1/9/1900,4/8/2024,
"Armstrong, Schaefer and Upton",France,48.864716,2.349014,Telecommunications,Large (501-1000),Jessica Martinez,3/12/2024,SAAS,Opportunity,5,Nurturing,3,8727,4/9/1900,11/19/2024,
Ryan LLC,Switzerland,46.204391,6.143158,Professional Services  & Consulting,Large (501-1000),David Wilson,4/2/2024,Services,Opportunity,5,Nurturing,3,9186,2/28/1900,10/21/2024,
Bode-Kautzer,France,48.864716,2.349014,Transportation & Logistics,Large (501-1000),Kevin Anderson,2/27/2024,SAAS,Opportunity,5,Nurturing,3,9819,2/18/1900,7/16/2024,
"Bauch, Hamill and Johns",Switzerland,46.204391,6.143158,Construction & Engineering,Large (501-1000),Laura Thompson,2/6/2024,SAAS,Opportunity,5,Nurturing,3,16771,2/8/1900,3/30/2024,
Schultz Group,Switzerland,46.204391,6.143158,Transportation & Logistics,Enterprise (1001+),David Wilson,3/28/2024,Custom solution,Opportunity,5,Nurturing,3,19226,1/19/1900,6/22/2024,
Robel and Sons,Germany,52.520008,13.404954,Manufacturing & Production,Enterprise (1001+),Jessica Martinez,2/24/2024,Services,Opportunity,5,Nurturing,3,3087,2/8/1900,11/13/2024,
Flipbug,Spain,40.416775,-3.703790,IT & IT Services,Small (11-200),Michael Brown,5/11/2024,SAAS,Opportunity,5,Opened,1,391,4/9/1900,4/5/2025,
Hane-Heller,Germany,52.520008,13.404954,IT & IT Services,Small (11-200),Jessica Martinez,1/16/2024,Services,Opportunity,5,Opened,1,314,1/9/1900,6/5/2024,
"Fisher, Jones and Cummerata",Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),David Wilson,4/17/2024,Services,Opportunity,5,Opened,1,1628,1/29/1900,3/9/2025,
Orn and Sons,Italy,41.902782,12.496366,Energy & Utilities,Small (11-200),Laura Thompson,5/6/2024,SAAS,Opportunity,5,Opened,1,1546,2/28/1900,4/22/2025,
O'Connell Inc,Netherlands,52.370216,4.895168,Retail & Distribution,Small (11-200),Kevin Anderson,3/11/2024,SAAS,Opportunity,5,Opened,1,1925,2/18/1900,3/3/2025,
Ferry Inc,Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Kevin Anderson,5/21/2024,SAAS,Opportunity,5,Opened,1,469,2/18/1900,3/9/2025,
Dibbert-Fahey,Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),Laura Thompson,3/30/2024,SAAS,Opportunity,5,Opened,1,234,2/8/1900,10/2/2024,
Sipes-Kautzer,France,48.864716,2.349014,Energy & Utilities,Small (11-200),Michael Brown,4/6/2024,Services,Opportunity,5,Opened,1,1890,4/9/1900,11/29/2024,
Harris-Yost,Belgium,51.260197,4.402771,Entertainment & Media & Hospitality,Small (11-200),Laura Thompson,4/7/2024,Services,Opportunity,5,Opened,1,536,1/19/1900,7/21/2024,
Schinner-Daugherty,Belgium,51.260197,4.402771,Banking and Finance,Small (11-200),Jessica Martinez,5/23/2024,SAAS,Opportunity,5,Opened,1,1982,1/29/1900,9/19/2024,
"Barrows, Kihn and Bergnaum",Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Jessica Martinez,5/27/2024,SAAS,Opportunity,5,Opened,1,769,2/28/1900,10/23/2024,
"Schultz, Lind and Jenkins",Switzerland,46.204391,6.143158,Banking and Finance,Small (11-200),David Wilson,3/16/2024,Services,Opportunity,5,Opened,1,1700,1/19/1900,1/10/2025,
Kohler-Boyle,Austria,48.210033,16.363449,Agriculture & Mining,Small (11-200),Laura Thompson,2/11/2024,Services,Opportunity,5,Opened,1,1573,1/29/1900,11/17/2024,
Kirlin-Wilderman,Netherlands,52.370216,4.895168,Manufacturing & Production,Small (11-200),Sarah Davis,3/1/2024,Custom solution,Opportunity,5,Opened,1,1399,1/29/1900,11/4/2024,
O'Hara-Kihn,Italy,41.902782,12.496366,Education & Science,Small (11-200),Michael Brown,1/24/2024,SAAS,Opportunity,5,Opened,1,1567,3/10/1900,6/8/2024,
"Hirthe, Runolfsson and Farrell",Switzerland,46.204391,6.143158,Education & Science,Small (11-200),Jessica Martinez,1/13/2024,SAAS,Opportunity,5,Opened,1,1456,1/19/1900,11/10/2024,
"Towne, Mohr and Emard",Italy,41.902782,12.496366,IT & IT Services,Small (11-200),Jessica Martinez,4/28/2024,SAAS,Opportunity,5,Opened,1,1134,2/8/1900,10/2/2024,
Wilkinson Inc,Switzerland,46.204391,6.143158,Banking and Finance,Small (11-200),John Smith,1/14/2024,SAAS,Opportunity,5,Opened,1,1418,4/9/1900,11/13/2024,
"Goldner, Stracke and Ryan",Austria,48.210033,16.363449,Recreation & Sports,Small (11-200),Laura Thompson,1/22/2024,Services,Opportunity,5,Opened,1,1994,3/10/1900,9/22/2024,
"Olson, Runte and Ferry",Austria,48.210033,16.363449,Professional Services  & Consulting,Small (11-200),Sarah Davis,3/10/2024,SAAS,Opportunity,5,Opened,1,597,2/8/1900,4/5/2024,
Pacocha-O'Hara,Germany,52.520008,13.404954,Professional Services  & Consulting,Small (11-200),Jessica Martinez,5/1/2024,Services,Opportunity,5,Opened,1,1332,3/30/1900,11/3/2024,
"Spinka, Parisian and Daniel",Germany,52.520008,13.404954,IT & IT Services,Small (11-200),Laura Thompson,4/11/2024,Custom solution,Opportunity,5,Opened,1,1600,2/8/1900,9/9/2024,
"Bergstrom, Dibbert and Witting",Germany,52.520008,13.404954,Energy & Utilities,Small (11-200),Kevin Anderson,4/3/2024,Services,Opportunity,5,Opened,1,462,3/30/1900,4/1/2025,
Bergstrom-Farrell,Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Laura Thompson,1/13/2024,SAAS,Opportunity,5,Opened,1,404,2/8/1900,2/14/2024,
Kayveo,Portugal,38.736946,-9.142685,Telecommunications,Micro (1-10),Jessica Martinez,4/30/2024,Custom solution,Opportunity,5,Opened,1,1000,1/19/1900,5/23/2024,
Ziemann-Labadie,Belgium,51.260197,4.402771,Construction & Engineering,Micro (1-10),John Smith,4/1/2024,Custom solution,Opportunity,5,Opened,1,1153,1/9/1900,12/24/2024,
VonRueden-Mosciski,Germany,52.520008,13.404954,Professional Services  & Consulting,Micro (1-10),Jessica Martinez,5/1/2024,Services,Opportunity,5,Opened,1,207,1/9/1900,2/12/2025,
"Roberts, Schaefer and Ortiz",Belgium,51.260197,4.402771,Transportation & Logistics,Micro (1-10),Emily Johnson,4/9/2024,Services,Opportunity,5,Opened,1,389,2/18/1900,6/4/2024,
"Hane, Harber and McClure",Italy,41.902782,12.496366,Banking and Finance,Micro (1-10),Sarah Davis,5/8/2024,SAAS,Opportunity,5,Opened,1,893,1/29/1900,12/23/2024,
"Haag, Ziemann and Greenfelder",Italy,41.902782,12.496366,Entertainment & Media & Hospitality,Micro (1-10),John Smith,2/7/2024,SAAS,Opportunity,5,Opened,1,1147,1/29/1900,8/24/2024,
Senger-Quigley,Belgium,51.260197,4.402771,Recreation & Sports,Micro (1-10),Jessica Martinez,4/12/2024,SAAS,Opportunity,5,Opened,1,1042,2/28/1900,11/6/2024,
Carroll-Fahey,Netherlands,52.370216,4.895168,Retail & Distribution,Micro (1-10),Jessica Martinez,1/31/2024,SAAS,Opportunity,5,Opened,1,1021,1/29/1900,10/23/2024,
Schneider Group,Spain,40.416775,-3.703790,Banking and Finance,Micro (1-10),Michael Brown,4/10/2024,SAAS,Opportunity,5,Opened,1,729,4/9/1900,11/15/2024,
"Mertz, Hodkiewicz and Howell",Italy,41.902782,12.496366,Retail & Distribution,Micro (1-10),Jessica Martinez,3/7/2024,Services,Opportunity,5,Opened,1,271,1/19/1900,7/1/2024,
Cartwright and Sons,Switzerland,46.204391,6.143158,Professional Services  & Consulting,Micro (1-10),Jessica Martinez,1/11/2024,SAAS,Opportunity,5,Opened,1,386,2/8/1900,5/2/2024,
"Sauer, Kozey and Mohr",Austria,48.210033,16.363449,Education & Science,Micro (1-10),Laura Thompson,1/28/2024,SAAS,Opportunity,5,Opened,1,746,1/29/1900,7/25/2024,
Yundt-Denesik,Austria,48.210033,16.363449,Professional Services  & Consulting,Micro (1-10),Michael Brown,1/5/2024,Custom solution,Opportunity,5,Opened,1,1083,1/19/1900,7/8/2024,
"Graham, Moen and Mosciski",Italy,41.902782,12.496366,Retail & Distribution,Micro (1-10),Jessica Martinez,4/6/2024,Services,Opportunity,5,Opened,1,717,2/18/1900,8/11/2024,
Adams Inc,France,48.864716,2.349014,IT & IT Services,Micro (1-10),Michael Brown,4/12/2024,SAAS,Opportunity,5,Opened,1,385,2/28/1900,1/13/2025,
"Tillman, Kessler and Bechtelar",Portugal,38.736946,-9.142685,Manufacturing & Production,Micro (1-10),Laura Thompson,1/13/2024,SAAS,Opportunity,5,Opened,1,532,4/9/1900,5/7/2024,
King-Weissnat,Italy,41.902782,12.496366,IT & IT Services,Micro (1-10),Jessica Martinez,3/10/2024,Custom solution,Opportunity,5,Opened,1,615,2/28/1900,12/3/2024,
Bluezoom,Portugal,38.736946,-9.142685,Recreation & Sports,Medium (201-500),David Wilson,3/21/2024,Custom solution,Opportunity,5,Opened,1,1042,2/28/1900,12/20/2024,
Thoughtworks,Switzerland,46.204391,6.143158,Construction & Engineering,Medium (201-500),Michael Brown,2/9/2024,Custom solution,Opportunity,5,Opened,1,7375,1/29/1900,1/19/2025,
Skipstorm,Germany,52.520008,13.404954,Energy & Utilities,Medium (201-500),Michael Brown,3/25/2024,Services,Opportunity,5,Opened,1,2976,1/29/1900,6/1/2024,
Snaptags,Belgium,51.260197,4.402771,Banking and Finance,Medium (201-500),Kevin Anderson,1/4/2024,Services,Opportunity,5,Opened,1,1111,1/19/1900,8/28/2024,
Photofeed,Spain,40.416775,-3.703790,Construction & Engineering,Medium (201-500),Laura Thompson,5/11/2024,SAAS,Opportunity,5,Opened,1,1978,1/19/1900,10/28/2024,
Larkin-Glover,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Laura Thompson,4/12/2024,SAAS,Opportunity,5,Opened,1,2355,1/19/1900,9/26/2024,
Conroy-Keeling,Netherlands,52.370216,4.895168,Government Administration Healthcare,Medium (201-500),Sarah Davis,3/31/2024,Services,Opportunity,5,Opened,1,1935,1/19/1900,11/1/2024,
Ratke-Abshire,France,48.864716,2.349014,Banking and Finance,Medium (201-500),Emily Johnson,4/9/2024,SAAS,Opportunity,5,Opened,1,837,3/20/1900,3/4/2025,
Quigley and Sons,Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Laura Thompson,3/18/2024,SAAS,Opportunity,5,Opened,1,1774,2/18/1900,5/8/2024,
O'Keefe and Sons,France,48.864716,2.349014,Transportation & Logistics,Medium (201-500),Laura Thompson,2/25/2024,SAAS,Opportunity,5,Opened,1,1964,2/28/1900,2/20/2025,
"Rogahn, Nolan and Bernhard",Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Kevin Anderson,5/15/2024,Services,Opportunity,5,Opened,1,3157,4/9/1900,10/15/2024,
"Braun, Swaniawski and Harris",Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),John Smith,4/18/2024,Custom solution,Opportunity,5,Opened,1,6618,1/9/1900,1/31/2025,
Cartwright-Hodkiewicz,Belgium,51.260197,4.402771,Banking and Finance,Medium (201-500),Laura Thompson,3/23/2024,Services,Opportunity,5,Opened,1,7091,2/18/1900,9/5/2024,
Goyette Inc,Belgium,51.260197,4.402771,Manufacturing & Production,Medium (201-500),Kevin Anderson,2/29/2024,SAAS,Opportunity,5,Opened,1,1898,2/8/1900,2/8/2025,
"Halvorson, Walker and White",Portugal,38.736946,-9.142685,Entertainment & Media & Hospitality,Medium (201-500),Michael Brown,3/5/2024,Custom solution,Opportunity,5,Opened,1,3098,1/19/1900,5/20/2024,
McGlynn-Watsica,Portugal,38.736946,-9.142685,Construction & Engineering,Medium (201-500),John Smith,3/2/2024,SAAS,Opportunity,5,Opened,1,2741,1/29/1900,12/5/2024,
Kertzmann Group,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Michael Brown,1/14/2024,Custom solution,Opportunity,5,Opened,1,4042,1/29/1900,11/19/2024,
"Kirlin, Bruen and Legros",Netherlands,52.370216,4.895168,Transportation & Logistics,Medium (201-500),Jessica Martinez,2/25/2024,Services,Opportunity,5,Opened,1,3123,2/8/1900,7/30/2024,
Okuneva-Gislason,France,48.864716,2.349014,Banking and Finance,Medium (201-500),Kevin Anderson,4/14/2024,Services,Opportunity,5,Opened,1,5056,3/20/1900,5/4/2024,
"Stanton, Mayer and Sauer",Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Jessica Martinez,5/18/2024,SAAS,Opportunity,5,Opened,1,1422,1/29/1900,6/30/2024,
Pagac-Farrell,Spain,40.416775,-3.703790,Agriculture & Mining,Medium (201-500),Kevin Anderson,5/10/2024,Services,Opportunity,5,Opened,1,1671,4/9/1900,10/2/2024,
"Trantow, O'Keefe and Hyatt",France,48.864716,2.349014,Education & Science,Large (501-1000),Laura Thompson,5/21/2024,SAAS,Opportunity,5,Opened,1,13700,2/18/1900,1/20/2025,
Thiel LLC,France,48.864716,2.349014,Professional Services  & Consulting,Enterprise (1001+),Kevin Anderson,2/10/2024,SAAS,Opportunity,5,Opened,1,13263,2/18/1900,1/1/2025,
Corkery-Little,Belgium,51.260197,4.402771,Telecommunications,Enterprise (1001+),Sarah Davis,1/7/2024,SAAS,Opportunity,5,Opened,1,5197,2/8/1900,6/8/2024,
Youopia,France,48.864716,2.349014,Professional Services  & Consulting,Small (11-200),John Smith,2/14/2024,Services,Opportunity,5,Proposal sent,4,1527,2/8/1900,3/7/2024,
Wikizz,Spain,40.416775,-3.703790,Manufacturing & Production,Small (11-200),Kevin Anderson,3/29/2024,Services,Opportunity,5,Proposal sent,4,720,4/9/1900,7/24/2024,
Feednation,France,48.864716,2.349014,Transportation & Logistics,Small (11-200),Emily Johnson,2/19/2024,Custom solution,Opportunity,5,Proposal sent,4,1310,1/19/1900,1/13/2025,
Fiveclub,Netherlands,52.370216,4.895168,Entertainment & Media & Hospitality,Small (11-200),Jessica Martinez,3/14/2024,Custom solution,Opportunity,5,Proposal sent,4,1605,2/8/1900,1/29/2025,
Cassin-Schmeler,France,48.864716,2.349014,Banking and Finance,Small (11-200),Emily Johnson,3/9/2024,Services,Opportunity,5,Proposal sent,4,838,4/9/1900,12/26/2024,
"Murazik, Konopelski and McLaughlin",Germany,52.520008,13.404954,Professional Services  & Consulting,Small (11-200),Michael Brown,3/9/2024,Services,Opportunity,5,Proposal sent,4,708,2/8/1900,1/18/2025,
"Dibbert, Jacobi and Rippin",Switzerland,46.204391,6.143158,Entertainment & Media & Hospitality,Small (11-200),Michael Brown,1/3/2024,Services,Opportunity,5,Proposal sent,4,1391,2/28/1900,7/8/2024,
"Wilderman, Nicolas and Sanford",Germany,52.520008,13.404954,Professional Services  & Consulting,Small (11-200),Jessica Martinez,4/23/2024,SAAS,Opportunity,5,Proposal sent,4,826,2/28/1900,7/23/2024,
"Maggio, Sanford and Rodriguez",Netherlands,52.370216,4.895168,Education & Science,Small (11-200),Jessica Martinez,1/16/2024,SAAS,Opportunity,5,Proposal sent,4,1174,2/8/1900,6/16/2024,
"Feil, O'Keefe and Skiles",Spain,40.416775,-3.703790,Energy & Utilities,Small (11-200),Laura Thompson,3/5/2024,Services,Opportunity,5,Proposal sent,4,1245,1/19/1900,11/6/2024,
Kutch-Weimann,Austria,48.210033,16.363449,Banking and Finance,Small (11-200),Michael Brown,2/2/2024,SAAS,Opportunity,5,Proposal sent,4,1215,1/29/1900,7/16/2024,
"Braun, Stroman and Terry",Switzerland,46.204391,6.143158,Banking and Finance,Small (11-200),Laura Thompson,3/19/2024,Custom solution,Opportunity,5,Proposal sent,4,1203,2/8/1900,12/4/2024,
Farrell Inc,Spain,40.416775,-3.703790,Manufacturing & Production,Small (11-200),Laura Thompson,2/10/2024,Custom solution,Opportunity,5,Proposal sent,4,1325,2/18/1900,3/4/2024,
"Stark, Lueilwitz and Boyle",Switzerland,46.204391,6.143158,IT & IT Services,Small (11-200),Laura Thompson,4/27/2024,SAAS,Opportunity,5,Proposal sent,4,1856,1/19/1900,4/14/2025,
Wilderman-Kunze,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Jessica Martinez,3/16/2024,Custom solution,Opportunity,5,Proposal sent,4,663,2/18/1900,10/20/2024,
Rowe-Volkman,Netherlands,52.370216,4.895168,IT & IT Services,Small (11-200),Jessica Martinez,2/29/2024,SAAS,Opportunity,5,Proposal sent,4,1589,1/29/1900,10/25/2024,
Towne-Mayer,Portugal,38.736946,-9.142685,Agriculture & Mining,Small (11-200),Jessica Martinez,3/14/2024,Services,Opportunity,5,Proposal sent,4,1153,1/19/1900,2/15/2025,
"Franecki, Torphy and Hayes",Portugal,38.736946,-9.142685,Recreation & Sports,Small (11-200),Jessica Martinez,3/13/2024,SAAS,Opportunity,5,Proposal sent,4,1084,2/18/1900,11/13/2024,
O'Conner-Gibson,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Michael Brown,2/23/2024,SAAS,Opportunity,5,Proposal sent,4,541,3/20/1900,5/4/2024,
Adams-Casper,France,48.864716,2.349014,Transportation & Logistics,Small (11-200),Jessica Martinez,2/27/2024,SAAS,Opportunity,5,Proposal sent,4,694,2/8/1900,12/26/2024,
Crist LLC,Austria,48.210033,16.363449,Professional Services  & Consulting,Small (11-200),Laura Thompson,3/6/2024,SAAS,Opportunity,5,Proposal sent,4,416,1/19/1900,11/4/2024,
Schmeler-Bayer,Austria,48.210033,16.363449,Construction & Engineering,Small (11-200),Michael Brown,1/20/2024,SAAS,Opportunity,5,Proposal sent,4,1693,1/9/1900,9/28/2024,
Ferry-Weber,Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),Laura Thompson,5/6/2024,Services,Opportunity,5,Proposal sent,4,1516,1/19/1900,7/14/2024,
Weber Group,Switzerland,46.204391,6.143158,Banking and Finance,Small (11-200),Laura Thompson,5/21/2024,SAAS,Opportunity,5,Proposal sent,4,1172,2/28/1900,4/24/2025,
McKenzie Inc,Portugal,38.736946,-9.142685,Entertainment & Media & Hospitality,Small (11-200),Jessica Martinez,3/23/2024,Services,Opportunity,5,Proposal sent,4,1829,1/29/1900,4/26/2024,
Hermiston Inc,Germany,52.520008,13.404954,Telecommunications,Small (11-200),Jessica Martinez,2/19/2024,SAAS,Opportunity,5,Proposal sent,4,785,1/29/1900,6/14/2024,
Jones Group,Italy,41.902782,12.496366,IT & IT Services,Small (11-200),Michael Brown,3/23/2024,SAAS,Opportunity,5,Proposal sent,4,1699,1/29/1900,3/7/2025,
"Bernhard, Stokes and Carroll",Portugal,38.736946,-9.142685,Agriculture & Mining,Small (11-200),David Wilson,2/1/2024,SAAS,Opportunity,5,Proposal sent,4,697,3/10/1900,3/29/2024,
O'Connell-Deckow,Switzerland,46.204391,6.143158,Manufacturing & Production,Small (11-200),Laura Thompson,3/24/2024,Custom solution,Opportunity,5,Proposal sent,4,1971,2/8/1900,8/20/2024,
Monahan-Turner,Netherlands,52.370216,4.895168,Professional Services  & Consulting,Small (11-200),David Wilson,5/12/2024,SAAS,Opportunity,5,Proposal sent,4,1835,1/29/1900,2/2/2025,
"Oberbrunner, Hintz and Frami",Portugal,38.736946,-9.142685,Recreation & Sports,Small (11-200),Laura Thompson,1/19/2024,Custom solution,Opportunity,5,Proposal sent,4,402,1/9/1900,6/19/2024,
"Rogahn, Rice and Christiansen",Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Emily Johnson,2/22/2024,SAAS,Opportunity,5,Proposal sent,4,280,1/29/1900,7/18/2024,
"Carter, Bayer and Okuneva",Austria,48.210033,16.363449,Transportation & Logistics,Small (11-200),Emily Johnson,4/16/2024,SAAS,Opportunity,5,Proposal sent,4,1312,2/8/1900,4/16/2025,
King-Simonis,Italy,41.902782,12.496366,Construction & Engineering,Small (11-200),Kevin Anderson,5/5/2024,Custom solution,Opportunity,5,Proposal sent,4,1424,1/29/1900,1/22/2025,
Quitzon-Ruecker,Switzerland,46.204391,6.143158,Agriculture & Mining,Small (11-200),Jessica Martinez,2/7/2024,Services,Opportunity,5,Proposal sent,4,801,2/18/1900,1/10/2025,
Turner-Leuschke,France,48.864716,2.349014,Telecommunications,Small (11-200),Laura Thompson,5/9/2024,SAAS,Opportunity,5,Proposal sent,4,287,2/28/1900,1/16/2025,
Jazzy,Italy,41.902782,12.496366,Entertainment & Media & Hospitality,Micro (1-10),Laura Thompson,1/13/2024,SAAS,Opportunity,5,Proposal sent,4,726,3/30/1900,12/13/2024,
Trudoo,Italy,41.902782,12.496366,Professional Services  & Consulting,Micro (1-10),Kevin Anderson,1/19/2024,Services,Opportunity,5,Proposal sent,4,648,2/28/1900,9/15/2024,
Devify,Portugal,38.736946,-9.142685,Retail & Distribution,Micro (1-10),Michael Brown,4/29/2024,Custom solution,Opportunity,5,Proposal sent,4,379,1/19/1900,2/3/2025,
Zooveo,Germany,52.520008,13.404954,Banking and Finance,Micro (1-10),Laura Thompson,4/16/2024,Services,Opportunity,5,Proposal sent,4,428,2/18/1900,11/20/2024,
Yamia,Netherlands,52.370216,4.895168,IT & IT Services,Micro (1-10),Michael Brown,4/17/2024,SAAS,Opportunity,5,Proposal sent,4,238,1/9/1900,1/29/2025,
Buzzdog,Belgium,51.260197,4.402771,Energy & Utilities,Micro (1-10),Jessica Martinez,3/17/2024,Services,Opportunity,5,Proposal sent,4,396,1/29/1900,10/3/2024,
"Stamm, Weissnat and Collier",France,48.864716,2.349014,Professional Services  & Consulting,Micro (1-10),John Smith,4/21/2024,SAAS,Opportunity,5,Proposal sent,4,559,3/30/1900,5/13/2024,
"Barton, Hodkiewicz and Hickle",Italy,41.902782,12.496366,Recreation & Sports,Micro (1-10),Michael Brown,4/13/2024,SAAS,Opportunity,5,Proposal sent,4,845,2/8/1900,11/1/2024,
"Jones, Stark and MacGyver",Portugal,38.736946,-9.142685,Recreation & Sports,Micro (1-10),Laura Thompson,2/29/2024,Services,Opportunity,5,Proposal sent,4,776,2/8/1900,9/1/2024,
Walsh and Sons,France,48.864716,2.349014,Transportation & Logistics,Micro (1-10),Emily Johnson,4/27/2024,SAAS,Opportunity,5,Proposal sent,4,1100,2/8/1900,10/11/2024,
